pricelayer.prices.effective.amount,pricelayer.provider.name,tariff.names.default,tariff.network.name,tariff.internet.pricePerUnit.price.amount,tariff.internet.traffic.value,tariff.internet.speed.value,tariff.voice.highestPrice.amount,tariff.voice.flatrate,tariff.sms.highestPrice.amount,tariff.sms.flatrate,tariff.contract.periods.contract.value,tariff.contract.periods.contract.unit
1508,HIGH,HIGH 10 LTE 50,Telekom,0,10000,50000,0,True,0,True,24,month
1520,o2,my Prepaid M,o2,0,6500,225000,0,True,0,True,28,day
1521,congstar,Allnet Flat M 5 GB,Telekom,0,5000,25000,0,True,0,True,24,month
1524,freenet Mobile,Allnet Flat 12 GB LTE,Vodafone,0,12000,50000,0,True,0,True,1,month
1541,mobilcom debitel,green LTE 10 GB,Telefónica,0,10000,225000,0,True,0,True,1,month
1557,mobilcom debitel,green LTE 10 GB,Telefónica,0,10000,225000,0,True,0,True,24,month
1557,mobilcom debitel,o2 Free Unlimited Basic,o2,0,9999000,2000,0,True,0,True,24,month
1571,gmx.de,All-Net Flat LTE 15 GB,Telefónica,0,15000,25000,0,True,0,True,24,month
1571,smartmobil.de,LTE 15 GB,Telefónica,0,15000,50000,0,True,0,True,24,month
1582,mobilcom debitel,Allnet 15 GB LTE,Telefónica,0,15000,225000,0,True,0,True,1,month
1582,o2,Free S,o2,0,3000,225000,0,True,0,True,24,month
1586,Crash,Allnet Flat 20 GB LTE,Vodafone,0,20000,50000,0,True,0,True,24,month
1595,mobilcom debitel,green LTE 20 GB,Vodafone,0,20000,50000,0,True,0,True,24,month
1641,mobilcom debitel,o2 Free S Boost,o2,0,6000,225000,0,True,0,True,24,month
1690,Tchibo,Smart L,Telefónica,0,6000,25000,0,True,0,True,28,day
1707,FONIC,Smart 6 GB,Telefónica,0,6000,21600,0,True,0,True,28,day
1724,Crash,Allnet Flat 15 GB LTE 50,Telekom,0,15000,50000,0,True,0,True,24,month
1728,OTELO,Allnet-Flat Max,Vodafone,0,30000,21600,0,True,0,True,24,month
1741,freenet Mobile,Allnet Flat 20 GB LTE,Vodafone,0,20000,50000,0,True,0,True,12,month
1771,simplytel,LTE All 20 GB,Telefónica,0,20000,50000,0,True,0,True,24,month
1790,1&1,All-Net-Flat LTE S,Telefónica,0,5000,50000,0,True,0,True,24,month
1799,klarmobil,Allnet Flat 15 GB LTE,Vodafone,0,15000,21600,0,True,0,True,1,month
1807,TELE2,LTE Allnet-Flat XL,Vodafone,0,20000,50000,0,True,0,True,24,month
1824,Crash,Allnet Flat 25 GB LTE,Vodafone,0,25000,21600,0,True,0,True,24,month
1824,freenet Mobile,Allnet Flat 20 GB LTE,Vodafone,0,20000,50000,0,True,0,True,1,month
1845,Crash,Allnet Flat 20 GB LTE 50,Telekom,0,20000,50000,0,True,0,True,24,month
1845,HIGH,HIGH 15 LTE 50,Telekom,0,15000,50000,0,True,0,True,24,month
1850,ALDI TALK,Paket L,Telefónica,0,12000,21600,0,True,0,True,28,day
1850,Lidl Connect,Smart XL,Vodafone,0,12000,25000,0,True,0,True,28,day
1866,mobilcom debitel,green LTE 20 GB,Telefónica,0,20000,225000,0,True,0,True,1,month
1895,HIGH,HIGH 20 LTE 25,Telekom,0,20000,25000,0,True,0,True,24,month
1907,eteleon,LTE National 8000,Telefónica,0,8000,21600,0,True,0,True,24,month
1912,blau,Allnet L,o2,0,12000,25000,0,True,0,True,28,day
1928,mobilcom debitel,Red XS,Vodafone,0,4000,500000,0,True,0,True,24,month
1932,mobilcom debitel,o2 Free M,o2,0,20000,225000,0,True,0,True,24,month
1999,Ay Yildiz,Ay Allnet Plus,Telefónica,0,12000,21600,0,True,12,False,24,month
1999,OTELO,Allnet-Flat Max,Vodafone,0,30000,50000,0,True,0,True,24,month
2019,FONIC,Smart 12 GB,Telefónica,0,12000,21600,0,True,0,True,28,day
2042,WEtell,Mittelwelle,Vodafone,0,5000,21600,0,True,0,True,1,month
2054,congstar,Allnet Flat M,Telekom,0,10000,25000,0,True,0,True,24,month
2064,o2,my Prepaid L,o2,0,12500,225000,0,True,0,True,28,day
2082,o2,Free S Boost,o2,0,6000,225000,0,True,0,True,24,month
2088,ja! mobil,Prepaid Smart Max,Telekom,0,12000,25000,0,True,0,True,28,day
2093,FCB Mobil,FCB Mobil S,Telekom,0,5500,300000,0,True,0,True,24,month
2096,yourfone,LTE 20 GB,Telefónica,0,20000,50000,0,True,9,False,24,month
2099,mobilcom debitel,green LTE 20 GB,Telekom,0,20000,25000,0,True,0,True,24,month
2103,Vodafone,Red XS,Vodafone,0,4000,500000,0,True,0,True,24,month
2130,Kaufland Mobil,Smart L,Telekom,1,12000,25000,0,True,0,True,28,day
2131,Vodafone,CallYa Digital,Vodafone,0,10000,500000,0,True,0,True,28,day
2145,HIGH,HIGH 20 LTE 50,Telekom,0,20000,50000,0,True,0,True,24,month
2165,1&1,All-Net-Flat LTE M,Telefónica,0,10000,225000,0,True,0,True,24,month
2166,mobilcom debitel,o2 Free Unlimited Basic,o2,0,9999000,2000,0,True,0,True,1,month
2166,o2,Free Unlimited Basic,o2,0,9999000,2000,0,True,0,True,24,month
2179,congstar,Allnet Flat M Flex,Telekom,0,10000,25000,0,True,0,True,1,month
2199,goood,Allnet-Flat Classic,Vodafone,0,10000,50000,0,True,0,True,24,month
2207,eteleon,LTE National 10000,Telefónica,0,10000,21600,0,True,0,True,24,month
2234,Tchibo,Smart XL,Telefónica,0,10000,25000,0,True,0,True,28,day
2249,o2,Free M,o2,0,20000,300000,0,True,0,True,24,month
2445,mobilcom debitel,Magenta Mobil S,Telekom,0,6000,300000,0,True,0,True,24,month
2495,mobilcom debitel,o2 Free M Boost,o2,0,40000,225000,0,True,0,True,24,month
2495,mobilcom debitel,o2 Free Unlimited Smart,o2,0,9999000,10000,0,True,0,True,24,month
2516,mobilcom debitel,green LTE 30 GB,Vodafone,0,30000,100000,0,True,0,True,24,month
2528,mobilcom debitel,Smart XL,Vodafone,0,6000,500000,0,True,0,True,24,month
2542,WEtell,Superfunk,Vodafone,0,10000,21600,0,True,0,True,1,month
2557,mobilcom debitel,green LTE 40 GB,Telefónica,0,40000,225000,0,True,0,True,24,month
2599,mobilcom debitel,green LTE 30 GB,Telekom,0,30000,50000,0,True,0,True,24,month
2635,Telekom,Magenta Mobil Prepaid XL,Telekom,99,5000,300000,0,True,0,True,28,day
2665,1&1,All-Net-Flat 5G L,Telefónica,0,20000,500000,0,True,0,True,24,month
2666,mobilcom debitel,green LTE 40 GB,Telefónica,0,40000,225000,0,True,0,True,1,month
2666,o2,Free S Flex,o2,0,3000,225000,0,True,0,True,1,month
2711,Telekom,Magenta Mobil S,Telekom,0,6000,300000,0,True,0,True,24,month
2730,FCB Mobil,FCB Mobil M,Telekom,0,11000,300000,0,True,0,True,24,month
2749,o2,Free M Boost,o2,0,40000,300000,0,True,0,True,24,month
2792,congstar,Allnet Flat L,Telekom,0,20000,25000,0,True,0,True,24,month
2812,Vodafone,Red S,Vodafone,0,10000,500000,0,True,0,True,24,month
2928,mobilcom debitel,Red S,Vodafone,0,10000,500000,0,True,0,True,24,month
2945,mobilcom debitel,Magenta Mobil M,Telekom,0,12000,300000,0,True,0,True,24,month
2979,congstar,Allnet Flat L Flex,Telekom,0,20000,25000,0,True,0,True,1,month
2995,mobilcom debitel,o2 Free L,o2,0,60000,225000,0,True,0,True,24,month
2999,Ay Yildiz,Ay Allnet Max,Telefónica,0,24000,21600,0,True,12,False,24,month
3041,mobilcom debitel,o2 Free Unlimited Max,o2,0,9999000,225000,0,True,0,True,1,month
3042,WEtell,Megafon,Vodafone,0,20000,21600,0,True,0,True,1,month
3057,mobilcom debitel,green LTE 60 GB,Telefónica,0,60000,225000,0,True,0,True,24,month
3082,o2,Free L,o2,0,60000,300000,0,True,0,True,24,month
3082,o2,Free Unlimited Smart,o2,0,9999000,10000,0,True,0,True,24,month
3099,mobilcom debitel,green LTE 40 GB,Telekom,0,40000,50000,0,True,0,True,24,month
3165,1&1,All-Net-Flat 5G XL,Telefónica,0,50000,500000,0,True,0,True,24,month
3166,mobilcom debitel,green LTE 60 GB,Telefónica,0,60000,225000,0,True,0,True,1,month
3166,mobilcom debitel,o2 Free Unlimited Smart,o2,0,9999000,10000,0,True,0,True,1,month
3299,goood,Allnet-Flat Max,Vodafone,0,20000,50000,0,True,0,True,24,month
3389,FCB Mobil,FCB Mobil L,Telekom,0,20000,300000,0,True,0,True,24,month
